Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,666,12,F:System.Windows.Forms.DialogResult.OK,,,,,if (saveFileDialog.ShowDialog() == DialogResult.OK)              {                  currentFilePath = saveFileDialog.FileName;                  SaveCreature();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,666,12,T:System.Windows.Forms.DialogResult,,,,,if (saveFileDialog.ShowDialog() == DialogResult.OK)              {                  currentFilePath = saveFileDialog.FileName;                  SaveCreature();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,666,12,M:System.Windows.Forms.CommonDialog.ShowDialog,,,,,if (saveFileDialog.ShowDialog() == DialogResult.OK)              {                  currentFilePath = saveFileDialog.FileName;                  SaveCreature();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,659,12,P:System.Windows.Forms.FileDialog.FileName,,,,,"SaveFileDialog saveFileDialog = new SaveFileDialog              {                  Filter = ""Creature XML Files (*.creature.xml)|*.creature.xml|XML Files (*.xml)|*.xml"",                  Title = ""Save Creature File"",                  FileName = creature.Name.Replace("" "", ""_"") + "".creature.xml""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,659,12,P:System.Windows.Forms.FileDialog.Title,,,,,"SaveFileDialog saveFileDialog = new SaveFileDialog              {                  Filter = ""Creature XML Files (*.creature.xml)|*.creature.xml|XML Files (*.xml)|*.xml"",                  Title = ""Save Creature File"",                  FileName = creature.Name.Replace("" "", ""_"") + "".creature.xml""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,659,12,P:System.Windows.Forms.FileDialog.Filter,,,,,"SaveFileDialog saveFileDialog = new SaveFileDialog              {                  Filter = ""Creature XML Files (*.creature.xml)|*.creature.xml|XML Files (*.xml)|*.xml"",                  Title = ""Save Creature File"",                  FileName = creature.Name.Replace("" "", ""_"") + "".creature.xml""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,659,12,T:System.Windows.Forms.SaveFileDialog,,,,,"SaveFileDialog saveFileDialog = new SaveFileDialog              {                  Filter = ""Creature XML Files (*.creature.xml)|*.creature.xml|XML Files (*.xml)|*.xml"",                  Title = ""Save Creature File"",                  FileName = creature.Name.Replace("" "", ""_"") + "".creature.xml""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,659,12,M:System.Windows.Forms.SaveFileDialog.#ctor,,,,,"SaveFileDialog saveFileDialog = new SaveFileDialog              {                  Filter = ""Creature XML Files (*.creature.xml)|*.creature.xml|XML Files (*.xml)|*.xml"",                  Title = ""Save Creature File"",                  FileName = creature.Name.Replace("" "", ""_"") + "".creature.xml""              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
